About,Om,
Apps,Appar,
Documentation,Dokumentation,
Frappe Support,Frappe Support,
Keyboard Shortcuts,Kort Kommando,
Log out,Logga Ut,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Reload,Ladda om,
Report an Issue,Rapportera Ärende,
Session Defaults,Session Inställningar,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
User Forum,Användare Forum,
View Website,Visa Webbplats,
