About,درباره,
Apps,برنامه ها,
Documentation,مستندات,
Frappe Support,پشتیبانی Frappe,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Log out,خروج,
My Profile,نمایه من,
My Settings,تنظیمات من,
Reload,بارگذاری مجدد,
Report an Issue,گزارش یک مشکل,
Session Defaults,پیش‌فرض‌های نشست,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
User Forum,انجمن کاربر,
View Website,مشاهده وب سایت,
